"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty"
"766","NEON.PLA.D19.DEJU.02731","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Live",11.4,130,"noChange",4.5,3,2.9,"Partially shaded",NA,"41","POTR5","Populus tremuloides Michx.","6N",7084024.24942249,560851.414774459,0.7,63.8781265977687,-145.76123769776,"515.06",1.1
"821","NEON.PLA.D19.DEJU.02945","DEJU_046.basePlot.vst","DEJU_046",2021-08-25,"single bole tree","Live",10.5,135,"noChange",4.5,2.2,1.8,"Full sun",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7083972.36388465,561228.716286416,0.7,63.8775951505929,-145.75357971843,"512.95",1.1
"538","NEON.PLA.D19.DEJU.00829","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live, physically damaged",13.3,130,"noChange",4.4,2.3,1.5,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084391.03206707,561227.942536477,0.72,63.8813515974357,-145.753428996568,"506.13",1.11
"713","NEON.PLA.D19.DEJU.02419","DEJU_045.basePlot.vst","DEJU_045",2021-08-23,"single bole tree","Live, physically damaged",11.8,130,"noChange",4.4,1.8,1.7,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084352.91795561,561725.127729942,0.79,63.8809221283699,-145.743324748885,"509.22",1.12
"26","NEON.PLA.D19.DEJU.00027","DEJU_050.basePlot.vst","DEJU_050",2021-08-26,"single bole tree","Live",10.3,140,"noChange",4.3,1.7,1.4,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084319.4974755,561042.418186639,0.7,63.8807422574963,-145.75723347063,"508.7",1.1
"116","NEON.PLA.D19.DEJU.00196","DEJU_049.basePlot.vst","DEJU_049",2021-08-25,"single bole tree","Standing dead",13.3,127,"noChange",4.3,3.5,2,"Partially shaded",NA,"21","POTR5","Populus tremuloides Michx.","6N",7084338.75727937,561908.083708047,0.71,63.8807626994411,-145.739606685833,"507.17",1.13
"426","NEON.PLA.D19.DEJU.00698","DEJU_045.basePlot.vst","DEJU_045",2021-08-23,"single bole tree","Live",11.1,128,"noChange",4.3,2.5,2.1,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084340.51549706,561756.331329767,0.7,63.8808053377863,-145.742694626684,"509.05",1.1
"476","NEON.PLA.D19.DEJU.00750","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Standing dead",10,144,"noChange",4.3,1.3,1.2,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084367.61209568,561219.786920147,0.7,63.8811429019232,-145.753604305808,"506.65",1.1
"550","NEON.PLA.D19.DEJU.00841","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",11.8,140,"noChange",4.3,1.9,1.8,"Full sun",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084382.15328089,561214.366794347,0.7,63.8812743160755,-145.753708843363,"506.65",1.1
"1058","NEON.PLA.D19.DEJU.05131","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Live, physically damaged",10.4,140,"noChange",4.3,3.7,2.9,"Partially shaded",NA,"41","POTR5","Populus tremuloides Michx.","6N",7084024.20711,560856.192727093,0.7,63.8781253858121,-145.761140476287,"515.06",1.1
"480","NEON.PLA.D19.DEJU.00755","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"multi-bole tree","Standing dead",11.4,130,"noChange",4.2,1.8,1.6,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084360.10336389,561230.376306918,0.7,63.8810736770505,-145.7533917602,"506.9",1.11
"557","NEON.PLA.D19.DEJU.00855","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",15.7,130,"noChange",4.2,2.7,2.3,"Full sun",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084397.8669278,561213.732767945,0.7,63.881415410769,-145.753715500666,"506.24",1.1
"497","NEON.PLA.D19.DEJU.00772","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Standing dead",13.6,145,"noChange",4,2,1.1,"Mostly shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084377.26070083,561223.99776629,0.7,63.8812287315862,-145.753514763405,"506.78",1.1
"248","NEON.PLA.D19.DEJU.00322","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"single bole tree","Standing dead",10,138,"noChange",3.8,2.3,2.1,"Full sun",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084486.85968886,561929.977946474,0.77,63.8820875925629,-145.739101496589,"505.16",1.18
"79","NEON.PLA.D19.DEJU.00121","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live,  other damage",11,130,"noChange",3.4,2.9,2.2,"Full sun",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084065.24041105,561074.93546931,0.7,63.8784553638594,-145.756672481457,"512.32",1.1
